Age,Gender,self_employed,family_history,treatment,work_interfere,remote_work,benefits,care_options,wellness_program,seek_help,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview
37,female,No,No,Yes,Often,No,Yes,Not sure,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe
44,male,No,No,No,Rarely,No,Don't know,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No
32,male,No,No,No,Rarely,No,No,No,No,No,Somewhat difficult,No,No,Yes,Yes,Yes,Yes
31,male,No,Yes,Yes,Often,No,No,Yes,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe
31,male,No,No,No,Never,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes
33,male,No,Yes,No,Sometimes,No,Yes,Not sure,No,Don't know,Don't know,No,No,Yes,Yes,No,Maybe
35,female,No,Yes,Yes,Sometimes,Yes,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No
39,male,No,No,No,Never,Yes,No,Yes,No,No,Don't know,No,No,No,No,No,No
42,female,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe
23,male,No,No,No,Never,No,Don't know,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe
31,male,No,No,Yes,Sometimes,Yes,Don't know,No,No,No,Don't know,No,No,Some of them,Yes,No,No
29,male,No,No,No,Never,Yes,Don't know,Not sure,No,No,Don't know,No,No,Yes,Yes,Yes,Yes
42,female,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe
36,male,No,Yes,No,Never,No,Don't know,Not sure,No,Don't know,Don't know,No,No,Yes,Yes,No,No
27,male,No,No,No,Never,No,Don't know,Not sure,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes
29,female,No,Yes,Yes,Rarely,No,Yes,Not sure,No,No,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe
23,male,No,No,Yes,Sometimes,Yes,Don't know,No,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe
32,male,No,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No
46,male,Yes,Yes,No,Sometimes,Yes,Yes,Not sure,Yes,Don't know,Very easy,No,No,Yes,Yes,No,Yes
